district,population,youth_population_18_35,unemployment_rate_percent,num_existing_training_centers,total_training_capacity,current_utilization_percent,top_growing_sectors,critical_skills_gaps,recommended_new_courses,recommended_capacity_expansion,estimated_investment_needed_inr,priority_sectors_with_scores,current_placement_rate_percent,target_placement_rate_percent,plan_start_date,plan_end_date,implementing_agencies,risk_factors,monitoring_frequency,success_metrics,plan_status,last_updated
Mumbai,11307624,3561625,10.85,91,9646,55.34,Tourism & Hospitality; Gig Economy; Logistics & Supply Chain; Agriculture & Food Processing; Telecommunications,Problem Solving; Computer Literacy; Communication,Digital Marketing; Warehouse Management; Automotive Mechanic; Beauty & Wellness; Data Analytics; Customer Service; Full Stack Development,1734,62727450,Tourism & Hospitality:92.6; Gig Economy:72.8; Logistics & Supply Chain:97.2; Agriculture & Food Processing:70.6; Telecommunications:75.2,57.57,76.81,2026-10-01,2027-09-30,NGOs; ITI; NSDC,Infrastructure Constraints; Trainer Shortage; Funding Delays,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Pune,4691798,1575926,13.37,12,696,77.89,Media & Entertainment; Logistics & Supply Chain; Construction; Pharmaceuticals; Automotive,Problem Solving; Computer Literacy; Communication,CNC Operation; Electrician Training; Mobile Repair; Beauty & Wellness; Accounting & GST; Medical Lab Technology,3464,60744704,Media & Entertainment:69.2; Logistics & Supply Chain:71.0; Construction:89.3; Pharmaceuticals:79.6; Automotive:96.7,57.34,90.0,2026-10-01,2027-09-30,State Skill Development; NSDC; Industry Associations; ITI; Private Partners,Infrastructure Constraints,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Draft,2026-09-05
Nagpur,2741367,725600,3.11,75,19125,41.81,Real Estate; Banking & Financial Services; Telecommunications; Electronics & Hardware; Tourism & Hospitality,Computer Literacy; Digital Banking; Financial Services; Communication; Problem Solving,Data Analytics; Cloud Computing; CNC Operation; Customer Service; Electrician Training; Medical Lab Technology; Accounting & GST; Food Processing,2124,34083828,Real Estate:93.5; Banking & Financial Services:75.3; Telecommunications:68.7; Electronics & Hardware:93.0; Tourism & Hospitality:67.2,21.79,56.67,2026-10-01,2027-09-30,NSDC; ITI,Infrastructure Constraints; Trainer Shortage,Quarterly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Approved,2026-09-05
Thane,1083893,374387,13.02,79,6873,87.06,Gig Economy; Manufacturing; Education & EdTech; Agriculture & Food Processing; Media & Entertainment,Automation; Computer Literacy; Quality Control; Communication; Problem Solving,Mobile Repair; Electrician Training; Warehouse Management; Full Stack Development,620,29644060,Gig Economy:90.1; Manufacturing:70.4; Education & EdTech:86.8; Agriculture & Food Processing:75.8; Media & Entertainment:89.9,58.7,89.57,2026-10-01,2027-09-30,Private Partners; NSDC; State Skill Development; Industry Associations,Infrastructure Constraints,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Draft,2026-09-05
Nashik,5395037,1512028,6.22,100,6900,50.92,Retail & E-commerce; Pharmaceuticals; Agriculture & Food Processing; Manufacturing; Gig Economy,Customer Service; E-commerce Operations; Computer Literacy; Problem Solving; Communication,Medical Lab Technology; Food Processing; Data Analytics; Warehouse Management; Cloud Computing; Welding Technology; Automotive Mechanic; Mobile Repair,1182,20727552,Retail & E-commerce:67.7; Pharmaceuticals:84.4; Agriculture & Food Processing:80.6; Manufacturing:74.8; Gig Economy:94.4,43.4,72.59,2026-10-01,2027-09-30,NGOs; Industry Associations,Trainer Shortage,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Implementation,2026-09-05
Aurangabad,13541550,4072477,5.65,30,3840,59.29,Agriculture & Food Processing; Electronics & Hardware; Insurance; Banking & Financial Services; Healthcare,Problem Solving; Computer Literacy; Communication,Electrician Training; Automotive Mechanic; Cloud Computing; Digital Marketing; Retail Management,4288,121101696,Agriculture & Food Processing:66.6; Electronics & Hardware:83.9; Insurance:70.7; Banking & Financial Services:63.7; Healthcare:69.2,35.1,53.97,2026-10-01,2027-09-30,State Skill Development; ITI; NGOs; Private Partners,None Identified,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Approved,2026-09-05
Solapur,10142747,2594559,6.87,41,8897,62.33,Pharmaceuticals; Agriculture & Food Processing; Energy & Renewables; Tourism & Hospitality; Healthcare,Problem Solving; Computer Literacy; Communication,Warehouse Management; Retail Management; CNC Operation; Mobile Repair; Accounting & GST; Digital Marketing; Automotive Mechanic,3895,158144790,Pharmaceuticals:69.0; Agriculture & Food Processing:85.0; Energy & Renewables:91.3; Tourism & Hospitality:60.4; Healthcare:86.1,32.0,62.5,2026-10-01,2027-09-30,NSDC; Industry Associations; ITI; Private Partners,Infrastructure Constraints; Trainer Shortage; Industry Partnership Gaps,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",Approved,2026-09-05
Amravati,7105179,2239589,12.44,21,1386,52.41,Agriculture & Food Processing; Automotive; Telecommunications; IT & Software Services; Construction,Problem Solving; Computer Literacy; Communication,Warehouse Management; Electrician Training; Automotive Mechanic; Full Stack Development; Welding Technology; CNC Operation; Data Analytics; Food Processing,4916,132736916,Agriculture & Food Processing:80.7; Automotive:96.9; Telecommunications:75.6; IT & Software Services:99.4; Construction:81.7,49.95,81.5,2026-10-01,2027-09-30,ITI; NGOs; NSDC; Industry Associations,Industry Partnership Gaps; Funding Delays,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
Kolhapur,10532475,2993849,7.07,67,10720,60.87,Banking & Financial Services; Insurance; Logistics & Supply Chain; Tourism & Hospitality; Energy & Renewables,Problem Solving; Computer Literacy; Digital Banking; Financial Services; Banking Operations,Food Processing; Electrician Training; Welding Technology; Mobile Repair,2050,51116750,Banking & Financial Services:82.4; Insurance:96.7; Logistics & Supply Chain:97.6; Tourism & Hospitality:66.1; Energy & Renewables:90.1,29.2,55.71,2026-10-01,2027-09-30,Industry Associations; State Skill Development,Industry Partnership Gaps,Bi-annual,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
Sangli,14877200,4750454,11.09,64,12160,57.91,Agriculture & Food Processing; Retail & E-commerce; Education & EdTech; Automotive; Manufacturing,Customer Service; E-commerce Operations; Computer Literacy; Problem Solving; Communication,Retail Management; Digital Marketing; CNC Operation; Full Stack Development; Warehouse Management,3755,180375180,Agriculture & Food Processing:68.7; Retail & E-commerce:69.9; Education & EdTech:82.1; Automotive:92.0; Manufacturing:83.8,42.35,74.17,2026-10-01,2027-09-30,NSDC; ITI; Industry Associations; State Skill Development,Industry Partnership Gaps,Monthly,"Placement Rate, Enrollment Numbers, Employer Satisfaction, Trainee Satisfaction",In Review,2026-09-05
