course_name,course_category,duration_months,skill_name,skill_type,proficiency_required,training_hours_allocated,assessment_method,industry_validated,validating_companies,equipment_needed,equipment_cost_estimate,trainer_qualification,months_since_curriculum_update,needs_curriculum_update,nsqf_aligned,nsqf_level,learning_outcomes,last_updated
Full Stack Development,IT & Software,6,JavaScript,Core,Intermediate,31,Portfolio,In Progress,N/A,10,140211,Expert Level,11,No,Yes,5,Demonstrate proficiency in JavaScript for industry applications,2026-09-05
Full Stack Development,IT & Software,6,React,Core,Advanced,48,Project,Yes,Byju's; Siemens,10,86268,Certification Required,35,Yes,Yes,5,Demonstrate proficiency in React for industry applications,2026-09-05
Full Stack Development,IT & Software,6,Node.js,Core,Intermediate,53,Project,In Progress,N/A,2,362379,Industry Experience 3+ years,30,Yes,Yes,5,Demonstrate proficiency in Node.js for industry applications,2026-09-05
Full Stack Development,IT & Software,6,MongoDB,Core,Advanced,26,Practical Exam,Yes,HCL; Tata Motors,3,196336,Graduate + Training,33,Yes,Yes,5,Demonstrate proficiency in MongoDB for industry applications,2026-09-05
Full Stack Development,IT & Software,6,HTML/CSS,Core,Advanced,29,Practical Exam,No,N/A,8,471846,Certification Required,19,Yes,Yes,5,Demonstrate proficiency in HTML/CSS for industry applications,2026-09-05
Full Stack Development,IT & Software,6,Git,Core,Advanced,21,On-job Assessment,Yes,Fortis Healthcare; Byju's; IBM; Accenture,5,34229,Certification Required,36,Yes,Yes,5,Demonstrate proficiency in Git for industry applications,2026-09-05
Full Stack Development,IT & Software,6,REST API,Core,Intermediate,59,Practical Exam,In Progress,N/A,8,232925,Certification Required,22,Yes,Yes,5,Demonstrate proficiency in REST API for industry applications,2026-09-05
Full Stack Development,IT & Software,6,GraphQL,Emerging,Intermediate,20,On-job Assessment,In Progress,N/A,5,261688,Expert Level,31,Yes,Yes,5,Demonstrate proficiency in GraphQL for industry applications,2026-09-05
Full Stack Development,IT & Software,6,TypeScript,Emerging,Intermediate,13,Written Test,No,N/A,8,60167,Industry Experience 3+ years,10,No,Yes,5,Demonstrate proficiency in TypeScript for industry applications,2026-09-05
Full Stack Development,IT & Software,6,Docker,Emerging,Intermediate,11,On-job Assessment,No,N/A,8,415262,Industry Experience 3+ years,11,No,Yes,5,Demonstrate proficiency in Docker for industry applications,2026-09-05
Full Stack Development,IT & Software,6,AWS Basics,Emerging,Beginner,26,Written Test,Yes,ICICI Bank; Narayana Health,5,488850,Expert Level,1,No,Yes,5,Demonstrate proficiency in AWS Basics for industry applications,2026-09-05
Data Analytics,IT & Software,6,Python,Core,Advanced,24,Portfolio,Yes,Wipro; TCS; Amazon,9,470278,Industry Experience 3+ years,21,Yes,Yes,5,Demonstrate proficiency in Python for industry applications,2026-09-05
Data Analytics,IT & Software,6,SQL,Core,Advanced,35,Practical Exam,In Progress,N/A,3,299613,Graduate + Training,4,No,Yes,5,Demonstrate proficiency in SQL for industry applications,2026-09-05
Data Analytics,IT & Software,6,Excel,Core,Intermediate,54,Project,In Progress,N/A,5,442233,Expert Level,6,No,Yes,5,Demonstrate proficiency in Excel for industry applications,2026-09-05
Data Analytics,IT & Software,6,Power BI,Core,Intermediate,26,On-job Assessment,No,N/A,5,86551,Graduate + Training,18,No,Yes,5,Demonstrate proficiency in Power BI for industry applications,2026-09-05
